process,samples,cpu_ms,cpu_pct_of_wall
KanpanEvidenceHost (94491),15,15,0.049
Python (90713),29660,29660,96.062
WindowServer (170),12665,12665,41.019
kernel (0),9340,9340,30.250
xctest (94828),8924,8924,28.903
swiftpm-testing-helper (94631),5105,5105,16.534
io.tailscale.ipn.macsys.network (44891),4997,4997,16.184
screensharingd (75615),3260,3260,10.558
Surge (78750),2994,2994,9.697
xctest (94895),2466,2466,7.987
SWBBuildService (94756),2219,2219,7.187
Claude Helper (45071),2118,2118,6.860
com.apple.Virtualization.Virtua (22634),1841,1841,5.963
xcodebuild (94814),1683,1683,5.451
diskimagesiod (65580),1648,1648,5.337
claude (57081),1630,1630,5.279
Claude Helper (Renderer) (45088),1558,1558,5.046
SWBBuildService (94655),1405,1405,4.550
swift-frontend (94670),1404,1404,4.547
SWBBuildService (94587),1295,1295,4.194
xcodebuild (94890),1177,1177,3.812
swift-frontend (94696),1126,1126,3.647
swift-frontend (94663),1069,1069,3.462
swift-frontend (94664),1036,1036,3.355
replayd (75526),884,884,2.863
Codex (Service) (47017),846,846,2.740
Codex (Renderer) (47035),837,837,2.711
xcodebuild (94653),817,817,2.646
xcodebuild (94749),802,802,2.597
ScreensharingAgent (75616),740,740,2.397
fseventsd (96),726,726,2.351
swift-frontend (94669),696,696,2.254
xcodebuild (94580),688,688,2.228
SpringBoard (92842),683,683,2.212
swift-frontend (94666),663,663,2.147
swift-frontend (94606),651,651,2.108
com.apple.dt.instruments.dtsecur (94565),642,642,2.079
swift-frontend (94671),639,639,2.070
swift-frontend (94599),636,636,2.060
swift-frontend (94603),613,613,1.985
swift-frontend (94787),609,609,1.972
swift-frontend (94597),599,599,1.940
diagnosticd (92881),595,595,1.927
swift-frontend (94602),593,593,1.921
swift-frontend (94601),571,571,1.849
swift-frontend (94604),570,570,1.846
Kanpan (94868),553,553,1.791
swift-frontend (94600),552,552,1.788
swift-frontend (94665),543,543,1.759
swift-frontend (94788),526,526,1.704
Xcode (93921),524,524,1.697
swift-frontend (94605),520,520,1.684
swift-frontend (94598),516,516,1.671
swift-frontend (94712),514,514,1.665
Claude Helper (Renderer) (84535),507,507,1.642
swift-frontend (94791),505,505,1.636
diagnosticd (92931),464,464,1.503
swift-frontend (94785),462,462,1.496
mdbulkimport (767),458,458,1.483
swift-frontend (94668),432,432,1.399
claude (58694),423,423,1.370
swift-frontend (94780),418,418,1.354
swift-frontend (94672),417,417,1.351
swift-frontend (94786),414,414,1.341
ld (94736),411,411,1.331
swift-frontend (94803),409,409,1.325
swift-frontend (94799),404,404,1.308
swift-frontend (94709),397,397,1.286
swift-frontend (94711),379,379,1.227
swift-frontend (94717),379,379,1.227
swift-frontend (94720),362,362,1.172
swift-frontend (94801),355,355,1.150
launchd (1),352,352,1.140
swift-frontend (94802),350,350,1.134
replayd (75637),345,345,1.117
WeChat (52054),339,339,1.098
swift-frontend (94789),330,330,1.069
swift-frontend (94667),315,315,1.020
swift-frontend (94713),315,315,1.020
swift-frontend (94800),311,311,1.007
swift-frontend (94721),304,304,0.985
mds (121),295,295,0.955
SWBBuildService (94893),291,291,0.942
SWBBuildService (94826),286,286,0.926
swift-frontend (94715),282,282,0.913
swift-frontend (94782),264,264,0.855
swift-frontend (94714),259,259,0.839
swift-frontend (94790),259,259,0.839
swift-frontend (94710),254,254,0.823
pkd (92907),239,239,0.774
swift-frontend (94707),232,232,0.751
swift-frontend (94718),221,221,0.716
claude (48144),220,220,0.713
managedappdistributiond (94719),218,218,0.706
SimMetalHost (iPhone 16 Pro: ren (92584),217,217,0.703
swift-frontend (94769),217,217,0.703
swift-frontend (94716),215,215,0.696
ScreensharingAgent (75628),213,213,0.690
swift-frontend (94798),211,211,0.683
com.docker.backend (67776),207,207,0.670
swift-package (94692),206,206,0.667
swift-frontend (94768),202,202,0.654
swift-frontend (94784),202,202,0.654
opendirectoryd (133),201,201,0.651
logd (92),195,195,0.632
claude (48602),195,195,0.632
mlhostd (94773),179,179,0.580
swift-frontend (94726),178,178,0.576
swift-frontend (94727),177,177,0.573
swift-frontend (94781),167,167,0.541
Claude (45063),165,165,0.534
claude (45182),165,165,0.534
mlhostd (94596),163,163,0.528
swift-frontend (94792),163,163,0.528
swift-frontend (94767),159,159,0.515
swift-frontend (94772),155,155,0.502
mds_stores (315),154,154,0.499
swift-frontend (94770),154,154,0.499
managedappdistributiond (94898),154,154,0.499
backboardd (92864),151,151,0.489
xcodebuild (94536),150,150,0.486
xctest (94630),148,148,0.479
managedappdistributiond (94842),148,148,0.479
swcd (93069),146,146,0.473
swift-plugin-server (94611),142,142,0.460
mlhostd (94856),142,142,0.460
swift-driver (94708),140,140,0.453
XProtectBridgeService (94877),140,140,0.453
swift-package (94725),133,133,0.431
ChatGPT (46998),129,129,0.418
swift-frontend (94771),129,129,0.418
swift-package (94620),128,128,0.415
swift-plugin-server (94607),127,127,0.411
swift-plugin-server (94677),125,125,0.405
swift-plugin-server (94610),123,123,0.398
WeatherWidget (9453),123,123,0.398
swift-plugin-server (94676),123,123,0.398
swift-plugin-server (94685),123,123,0.398
swift-plugin-server (94673),121,121,0.392
swift-plugin-server (94609),115,115,0.372
swift-plugin-server (94684),115,115,0.372
swift-frontend (94783),115,115,0.372
swift-frontend (94804),115,115,0.372
swift-frontend (94694),104,104,0.337
swift-frontend (94590),103,103,0.334
swift-plugin-server (94686),103,103,0.334
swift-plugin-server (94612),102,102,0.330
simctl (94862),102,102,0.330
com.apple.Virtualization.Virtua (56583),101,101,0.327
swift-frontend (94705),101,101,0.327
swift-plugin-server (94608),100,100,0.324
PosterBoard (92918),99,99,0.321
simctl (94865),95,95,0.308
CloudTelemetryService (94876),94,94,0.304
swift-plugin-server (94681),93,93,0.301
swift-plugin-server (94722),93,93,0.301
swift-plugin-server (94675),91,91,0.295
Codex (Renderer) (47319),90,90,0.291
swift-frontend (94614),86,86,0.279
simctl (94850),85,85,0.275
SimRenderServer (92582),79,79,0.256
swift-frontend (94656),79,79,0.256
swift-help (94700),79,79,0.256
assistant_service (94520),79,79,0.256
Codex (Renderer) (47191),78,78,0.253
testmanagerd (93531),77,77,0.249
swift-help (94701),74,74,0.240
DTServiceHub (93243),73,73,0.236
swift-frontend (94729),73,73,0.236
swift-frontend (94745),73,73,0.236
runningboardd (92846),72,72,0.233
lsd (92892),70,70,0.227
locationd (92867),69,69,0.223
swift-frontend (94763),69,69,0.223
swift-frontend (94622),68,68,0.220
swift-frontend (94629),68,68,0.220
Google Chrome (12857),67,67,0.217
simctl (94859),67,67,0.217
ControlCenter (412),65,65,0.211
Codex (Service) (47018),65,65,0.211
trustd (81450),65,65,0.211
assistantd (92845),65,65,0.211
runningboardd (171),64,64,0.207
Simulator (85154),63,63,0.204
clang (94657),62,62,0.201
swift-help (94735),61,61,0.198
mdworker_shared (94702),60,60,0.194
mdworker_shared (94723),60,60,0.194
mdworker_shared (94739),58,58,0.188
swift-help (94741),58,58,0.188
siriknowledged (92942),58,58,0.188
symptomsd (257),57,57,0.185
rapportd (375),56,56,0.181
mdworker_shared (94737),56,56,0.181
axassetsd (92852),56,56,0.181
notifyd (158),55,55,0.178
mdworker_shared (94706),54,54,0.175
