style,metric,app,prototype,delta_pt,delta_device_px
stout,axisW,58.0,58.0,0.0,0.0
stout,timeH,26.0,26.0,0.0,0.0
stout,subH,84.0,84.0,0.0,0.0
stout,spacing,9.2,9.20000000000508,5.080380560684716e-12,1.524114168205415e-11
stout,bodyW,7.666666666666667,8.0,0.33333333333333304,0.9999999999999991
stout,wickW,1.0,0.6,0.4,1.2000000000000002
stout,padTop,0.1093749999999985,0.1093749999999985,0.0,0.0
indigo,axisW,54.0,54.0,0.0,0.0
indigo,timeH,22.0,22.0,0.0,0.0
indigo,subH,74.0,74.0,0.0,0.0
indigo,spacing,4.8,4.8,0.0,0.0
indigo,bodyW,2.3333333333333335,2.6666666666666665,0.33333333333333304,0.9999999999999991
indigo,wickW,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5
indigo,padTop,0.06896551724137835,0.06896551724137835,0.0,0.0
glow,axisW,52.0,52.0,0.0,0.0
glow,timeH,24.0,24.0,0.0,0.0
glow,subH,72.0,72.0,0.0,0.0
glow,spacing,7.199999999999999,7.199999999999999,0.0,0.0
glow,bodyW,5.333333333333333,5.333333333333333,0.0,0.0
glow,wickW,0.6666666666666666,0.39999999999999997,0.26666666666666666,0.8
glow,padTop,0.09677419354838733,0.09677419354838733,0.0,0.0
airy,axisW,62.0,62.0,0.0,0.0
airy,timeH,30.0,30.0,0.0,0.0
airy,subH,96.0,96.0,0.0,0.0
airy,spacing,11.0,11.000000000002194,2.1938006966593093e-12,6.581402089977928e-12
airy,bodyW,6.666666666666667,6.666666666666667,0.0,0.0
airy,wickW,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0
airy,padTop,0.14285714285713583,0.14285714285713583,0.0,0.0
brick,axisW,56.0,56.0,0.0,0.0
brick,timeH,24.0,24.0,0.0,0.0
brick,subH,78.0,78.0,0.0,0.0
brick,spacing,8.400000000000002,8.400000000003951,3.948841253986757e-12,1.184652376196027e-11
brick,bodyW,7.666666666666667,8.0,0.33333333333333304,0.9999999999999991
brick,wickW,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5
brick,padTop,0.09677419354838901,0.09677419354838901,0.0,0.0
needle,axisW,54.0,54.0,0.0,0.0
needle,timeH,24.0,24.0,0.0,0.0
needle,subH,76.0,76.0,0.0,0.0
needle,spacing,7.800000000000001,7.79999999999544,4.560796185160143e-12,1.368238855548043e-11
needle,bodyW,3.0,3.3333333333333335,0.3333333333333335,1.0000000000000004
needle,wickW,1.0,0.6666666666666666,0.33333333333333337,1.0
needle,padTop,0.12121212121212857,0.12121212121212857,0.0,0.0
pill,axisW,52.0,52.0,0.0,0.0
pill,timeH,23.0,23.0,0.0,0.0
pill,subH,72.0,72.0,0.0,0.0
pill,spacing,6.6,6.59999999999693,3.069544618483633e-12,9.208633855450898e-12
pill,bodyW,2.6666666666666665,2.6666666666666665,0.0,0.0
pill,wickW,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0
pill,padTop,0.08333333333333344,0.08333333333333344,0.0,0.0
paper,axisW,48.0,48.0,0.0,0.0
paper,timeH,24.0,24.0,0.0,0.0
paper,subH,66.0,66.0,0.0,0.0
paper,spacing,6.4,6.4,0.0,0.0
paper,bodyW,4.333333333333333,4.0,0.33333333333333304,0.9999999999999991
paper,wickW,0.3333333333333333,0.26666666666666666,0.06666666666666665,0.19999999999999996
paper,padTop,0.08333333333333101,0.08333333333333101,0.0,0.0
outline,axisW,50.0,50.0,0.0,0.0
outline,timeH,22.0,22.0,0.0,0.0
outline,subH,68.0,68.0,0.0,0.0
outline,spacing,7.6,7.6000000000017565,1.7568169141668477e-12,5.270450742500543e-12
outline,bodyW,5.0,5.333333333333333,0.33333333333333304,0.9999999999999991
outline,wickW,0.3333333333333333,0.3,0.033333333333333326,0.09999999999999998
outline,padTop,0.08333333333333837,0.08333333333333837,0.0,0.0
bone,axisW,44.0,44.0,0.0,0.0
bone,timeH,20.0,20.0,0.0,0.0
bone,subH,58.0,58.0,0.0,0.0
bone,spacing,3.4,3.4000000000010306,1.0307310560619953e-12,3.092193168185986e-12
bone,bodyW,1.0,1.3333333333333333,0.33333333333333326,0.9999999999999998
bone,wickW,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5
bone,padTop,0.053571428571430026,0.053571428571430026,0.0,0.0
dense,axisW,40.0,40.0,0.0,0.0
dense,timeH,18.0,18.0,0.0,0.0
dense,subH,52.0,52.0,0.0,0.0
dense,spacing,2.6,2.600000000000292,2.9176661087149114e-13,8.752998326144734e-13
dense,bodyW,1.6666666666666667,1.3333333333333333,0.3333333333333335,1.0000000000000004
dense,wickW,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5
dense,padTop,0.045454545454546746,0.045454545454546746,0.0,0.0
