theme,style,point,expected,actual,delta,coverage,exactExpected
light,stout,upBody,#0E9E78,#0E9E78,0,1.0000,true
light,stout,downBody,#DE2E57,#DE2E57,0,1.0000,true
light,stout,wick,#53B8A0,#53B8A0,0,1.0000,true
light,stout,grid,#E4E7F5,#E4E7F5,0,1.0000,true
light,stout,bg,#F4F6FD,#F4F6FD,0,0.0000,true
light,stout,lastLine,#DE2E57,#DE2E57,0,1.0000,true
light,stout,axisText,#8B90B2,#8B90B2,0,1.0000,true
light,indigo,upBody,#0E9E78,#0E9E78,0,1.0000,true
light,indigo,downBody,#DE2E57,#DE2E57,0,1.0000,true
light,indigo,wick,#81CABB,#81CABA,1,0.5000,false
light,indigo,grid,#E4E7F5,#E4E7F5,0,1.0000,true
light,indigo,bg,#F4F6FD,#F4F6FD,0,0.0000,true
light,indigo,lastLine,#DE2E57,#DE2E57,0,1.0000,true
light,indigo,axisText,#8B90B2,#8B90B2,0,1.0000,true
light,glow,upBody,#0E9E78,#0E9E78,0,1.0000,true
light,glow,downBody,#DE2E57,#DE2E57,0,1.0000,true
light,glow,wick,#6AC1AD,#6AC1AD,0,1.0000,true
light,glow,grid,#F4F6FD,#F4F6FD,0,0.0000,true
light,glow,bg,#F4F6FD,#F4F6FD,0,0.0000,true
light,glow,lastLine,#DE2E57,#DE2E57,0,1.0000,true
light,glow,axisText,#8B90B2,#8B90B2,0,1.0000,true
light,airy,upBody,#0E9E78,#0E9E78,0,1.0000,true
light,airy,downBody,#DE2E57,#DE2E57,0,1.0000,true
light,airy,wick,#0E9E78,#0E9E78,0,1.0000,true
light,airy,grid,#E4E7F5,#E4E7F5,0,1.0000,true
light,airy,bg,#F4F6FD,#F4F6FD,0,0.0000,true
light,airy,lastLine,#DE2E57,#DE2E57,0,1.0000,true
light,airy,axisText,#8B90B2,#8B90B2,0,1.0000,true
light,brick,upBody,#0E9E78,#0E9E78,0,1.0000,true
light,brick,downBody,#DE2E57,#DE2E57,0,1.0000,true
light,brick,wick,#C1E2DF,#C0E2DF,1,0.5049,false
light,brick,grid,#E4E7F5,#E4E7F5,0,1.0000,true
light,brick,bg,#F4F6FD,#F4F6FD,0,0.0000,true
light,brick,lastLine,#DE2E57,#DE2E57,0,1.0000,true
light,brick,axisText,#8B90B2,#8B90B2,0,1.0000,true
light,needle,upBody,#0E9E78,#0E9E78,0,1.0000,true
light,needle,downBody,#DE2E57,#DE2E57,0,1.0000,true
light,needle,wick,#25A785,#25A785,0,1.0000,true
light,needle,grid,#E4E7F5,#E4E7F5,0,1.0000,true
light,needle,bg,#F4F6FD,#F4F6FD,0,0.0000,true
light,needle,lastLine,#DE2E57,#DE2E57,0,1.0000,true
light,needle,axisText,#8B90B2,#8B90B2,0,1.0000,true
light,pill,upBody,#0E9E78,#0E9E78,0,1.0000,true
light,pill,downBody,#DE2E57,#DE2E57,0,1.0000,true
light,pill,wick,#0E9E78,#0E9E78,0,1.0000,true
light,pill,grid,#E4E7F5,#E4E7F5,0,1.0000,true
light,pill,bg,#F4F6FD,#F4F6FD,0,0.0000,true
light,pill,lastLine,#DE2E57,#DE2E57,0,1.0000,true
light,pill,axisText,#8B90B2,#8B90B2,0,1.0000,true
light,paper,upBody,#0E9E78,#0E9E78,0,1.0000,true
light,paper,downBody,#DE2E57,#DE2E57,0,1.0000,true
light,paper,wick,#3CB093,#3CAF92,1,0.8000,false
light,paper,grid,#E4E7F5,#E4E7F5,0,1.0000,true
light,paper,bg,#F4F6FD,#F4F6FD,0,0.0000,true
light,paper,lastLine,#DE2E57,#DE2E57,0,1.0000,true
light,paper,axisText,#8B90B2,#8B90B2,0,1.0000,true
light,outline,upBody,#0E9E78,#0E9E78,0,1.0000,true
light,outline,downBody,#DE2E57,#DE2E57,0,1.0000,true
light,outline,wick,#45B397,#44B297,1,0.9026,false
light,outline,grid,#E4E7F5,#E4E7F5,0,1.0000,true
light,outline,bg,#F4F6FD,#F4F6FD,0,0.0000,true
light,outline,lastLine,#DE2E57,#DE2E57,0,1.0000,true
light,outline,axisText,#8B90B2,#8B90B2,0,1.0000,true
light,bone,upBody,#0E9E78,#0E9E78,0,1.0000,true
light,bone,downBody,#DE2E57,#DE2E57,0,1.0000,true
light,bone,wick,#81CABB,#81CABA,1,0.5000,false
light,bone,grid,#E4E7F5,#E4E7F5,0,1.0000,true
light,bone,bg,#F4F6FD,#F4F6FD,0,0.0000,true
light,bone,lastLine,#DE2E57,#DE2E57,0,1.0000,true
light,bone,axisText,#8B90B2,#8B90B2,0,1.0000,true
light,dense,upBody,#0E9E78,#0E9E78,0,1.0000,true
light,dense,downBody,#DE2E57,#DE2E57,0,1.0000,true
light,dense,wick,#81CABB,#81CABA,1,0.5000,false
light,dense,grid,#F4F6FD,#F4F6FD,0,0.0000,true
light,dense,bg,#F4F6FD,#F4F6FD,0,0.0000,true
light,dense,lastLine,#DE2E57,#DE2E57,0,1.0000,true
light,dense,axisText,#8B90B2,#8B90B2,0,1.0000,true
dark,stout,upBody,#2FBF8F,#2FBF8F,0,1.0000,true
dark,stout,downBody,#F0567B,#F0567B,0,1.0000,true
dark,stout,wick,#288E77,#288E77,0,1.0000,true
dark,stout,grid,#232858,#232858,0,1.0000,true
dark,stout,bg,#161A3F,#161A3F,0,0.0000,true
dark,stout,lastLine,#F0567B,#F0567B,0,1.0000,true
dark,stout,axisText,#6D719A,#6D719A,0,1.0000,true
dark,indigo,upBody,#2FBF8F,#2FBF8F,0,1.0000,true
dark,indigo,downBody,#F0567B,#F0567B,0,1.0000,true
dark,indigo,wick,#236D67,#226C66,1,0.4970,false
dark,indigo,grid,#232858,#232858,0,1.0000,true
dark,indigo,bg,#161A3F,#161A3F,0,0.0000,true
dark,indigo,lastLine,#F0567B,#F0567B,0,1.0000,true
dark,indigo,axisText,#6D719A,#6D719A,0,1.0000,true
dark,glow,upBody,#2FBF8F,#2FBF8F,0,1.0000,true
dark,glow,downBody,#F0567B,#F0567B,0,1.0000,true
dark,glow,wick,#257D6F,#257D6F,0,1.0000,true
dark,glow,grid,#161A3F,#161A3F,0,0.0000,true
dark,glow,bg,#161A3F,#161A3F,0,0.0000,true
dark,glow,lastLine,#F0567B,#F0567B,0,1.0000,true
dark,glow,axisText,#6D719A,#6D719A,0,1.0000,true
dark,airy,upBody,#2FBF8F,#2FBF8F,0,1.0000,true
dark,airy,downBody,#F0567B,#F0567B,0,1.0000,true
dark,airy,wick,#2FBF8F,#2FBF8F,0,1.0000,true
dark,airy,grid,#232858,#232858,0,1.0000,true
dark,airy,bg,#161A3F,#161A3F,0,0.0000,true
dark,airy,lastLine,#F0567B,#F0567B,0,1.0000,true
dark,airy,axisText,#6D719A,#6D719A,0,1.0000,true
dark,brick,upBody,#2FBF8F,#2FBF8F,0,1.0000,true
dark,brick,downBody,#F0567B,#F0567B,0,1.0000,true
dark,brick,wick,#1C3F51,#1B3E50,1,0.4865,false
dark,brick,grid,#232858,#232858,0,1.0000,true
dark,brick,bg,#161A3F,#161A3F,0,0.0000,true
dark,brick,lastLine,#F0567B,#F0567B,0,1.0000,true
dark,brick,axisText,#6D719A,#6D719A,0,1.0000,true
dark,needle,upBody,#2FBF8F,#2FBF8F,0,1.0000,true
dark,needle,downBody,#F0567B,#F0567B,0,1.0000,true
dark,needle,wick,#2DAF87,#2DAF87,0,1.0000,true
dark,needle,grid,#232858,#232858,0,1.0000,true
dark,needle,bg,#161A3F,#161A3F,0,0.0000,true
dark,needle,lastLine,#F0567B,#F0567B,0,1.0000,true
dark,needle,axisText,#6D719A,#6D719A,0,1.0000,true
dark,pill,upBody,#2FBF8F,#2FBF8F,0,1.0000,true
dark,pill,downBody,#F0567B,#F0567B,0,1.0000,true
dark,pill,wick,#2FBF8F,#2FBF8F,0,1.0000,true
dark,pill,grid,#232858,#232858,0,1.0000,true
dark,pill,bg,#161A3F,#161A3F,0,0.0000,true
dark,pill,lastLine,#F0567B,#F0567B,0,1.0000,true
dark,pill,axisText,#6D719A,#6D719A,0,1.0000,true
dark,paper,upBody,#2FBF8F,#2FBF8F,0,1.0000,true
dark,paper,downBody,#F0567B,#F0567B,0,1.0000,true
dark,paper,wick,#2A9E7F,#2A9E7F,0,0.8000,false
dark,paper,grid,#232858,#232858,0,1.0000,true
dark,paper,bg,#161A3F,#161A3F,0,0.0000,true
dark,paper,lastLine,#F0567B,#F0567B,0,1.0000,true
dark,paper,axisText,#6D719A,#6D719A,0,1.0000,true
dark,outline,upBody,#2FBF8F,#2FBF8F,0,1.0000,true
dark,outline,downBody,#F0567B,#F0567B,0,1.0000,true
dark,outline,wick,#29987C,#28977C,1,0.8929,false
dark,outline,grid,#232858,#232858,0,1.0000,true
dark,outline,bg,#161A3F,#161A3F,0,0.0000,true
dark,outline,lastLine,#F0567B,#F0567B,0,1.0000,true
dark,outline,axisText,#6D719A,#6D719A,0,1.0000,true
dark,bone,upBody,#2FBF8F,#2FBF8F,0,1.0000,true
dark,bone,downBody,#F0567B,#F0567B,0,1.0000,true
dark,bone,wick,#236D67,#226C66,1,0.4970,false
dark,bone,grid,#232858,#232858,0,1.0000,true
dark,bone,bg,#161A3F,#161A3F,0,0.0000,true
dark,bone,lastLine,#F0567B,#F0567B,0,1.0000,true
dark,bone,axisText,#6D719A,#6D719A,0,1.0000,true
dark,dense,upBody,#2FBF8F,#2FBF8F,0,1.0000,true
dark,dense,downBody,#F0567B,#F0567B,0,1.0000,true
dark,dense,wick,#236D67,#226C66,1,0.4970,false
dark,dense,grid,#161A3F,#161A3F,0,0.0000,true
dark,dense,bg,#161A3F,#161A3F,0,0.0000,true
dark,dense,lastLine,#F0567B,#F0567B,0,1.0000,true
dark,dense,axisText,#6D719A,#6D719A,0,1.0000,true
