process,samples,cpu_ms,cpu_pct_of_wall
KanpanEvidenceHost (84581),0,0,0.000
Kanpan (10068),31244,31244,97.518
swiftpm-testing-helper (84861),24442,24442,76.287
swiftpm-testing-helper (84613),14759,14759,46.065
swift-frontend (83347),13950,13950,43.540
swift-frontend (84834),12250,12250,38.234
kernel (0),11433,11433,35.684
swift-frontend (84776),11202,11202,34.963
swift-frontend (83168),9487,9487,29.610
swift-frontend (84833),8054,8054,25.138
swift-frontend (84893),5580,5580,17.416
Kanpan (41319),3919,3919,12.232
Kanpan (84911),3516,3516,10.974
WallpaperAerialsExtension (460),3431,3431,10.709
swift-frontend (84959),3061,3061,9.554
swift-frontend (84921),3007,3007,9.385
WindowServer (167),2727,2727,8.511
swift-frontend (84961),2560,2560,7.990
ld (84949),2545,2545,7.943
Surge (401),2530,2530,7.897
com.apple.dt.instruments.dtsecur (84797),2346,2346,7.322
swift-frontend (84865),2238,2238,6.985
swift-plugin-server (84841),2163,2163,6.751
2.1.267 (3346),2117,2117,6.608
SimMetalHost (iPad Pro 11-inch  (67369),1921,1921,5.996
swift-plugin-server (84798),1868,1868,5.830
xctest (84466),1805,1805,5.634
backboardd (67397),1680,1680,5.244
swift-frontend (84939),1493,1493,4.660
com.apple.Virtualization.Virtua (62812),1421,1421,4.435
SimMetalHost (iPhone 16 Pro: re (41015),1285,1285,4.011
swift-frontend (84851),1215,1215,3.792
SimRenderServer (67366),1176,1176,3.670
Kanpan (84471),1135,1135,3.543
swiftpm-testing-helper (84900),1007,1007,3.143
KanpanUITests-Runner (84907),995,995,3.106
backboardd (41041),988,988,3.084
swift-frontend (84971),985,985,3.074
VTDecoderXPCService (39002),846,846,2.641
swift-package (84840),834,834,2.603
swift-package (84878),794,794,2.478
xctest (84896),756,756,2.360
xcodebuild (67662),732,732,2.285
KanpanUITests-Runner (84468),672,672,2.097
swift-frontend (84830),646,646,2.016
xctest (84871),646,646,2.016
codex (49863),623,623,1.944
pairedsyncd (84957),588,588,1.835
2.1.267 (59627),576,576,1.798
swift-frontend (84973),571,571,1.782
pairedsyncd (84860),570,570,1.779
swift-frontend (84882),565,565,1.763
