symbol,route,route_after_fix,ticker,multiplier,binance_price,cg_id,cg_price,price_ratio,identity,shown_cap_usd,right_cg_id,right_cap_usd,cap_error_x,same_ticker_ids
BTCUSDT,binance-原名,binance-原名,BTC,1.0,85383.6,,,,,,,,,
ETHUSDT,binance-原名,binance-原名,ETH,1.0,2716.64,,,,,,,,,
BCHUSDT,binance-原名,binance-原名,BCH,1.0,355.48,,,,,,,,,
XRPUSDT,binance-原名,binance-原名,XRP,1.0,1.5633,,,,,,,,,
LTCUSDT,binance-原名,binance-原名,LTC,1.0,62.02,,,,,,,,,
TRXUSDT,binance-原名,binance-原名,TRX,1.0,0.34155,,,,,,,,,
ETCUSDT,binance-原名,binance-原名,ETC,1.0,9.462,,,,,,,,,
LINKUSDT,binance-原名,binance-原名,LINK,1.0,12.675,,,,,,,,,
XLMUSDT,binance-原名,binance-原名,XLM,1.0,0.21296,,,,,,,,,
ADAUSDT,binance-原名,binance-原名,ADA,1.0,0.2493,,,,,,,,,
XMRUSDT,coingecko-原名,coingecko-原名-单价核对通过,XMR,1.0,564.04,monero,565.21,0.9979299729304151,对,10608681758.784254,monero,10608681758.784254,1.0,monero
DASHUSDT,binance-原名,binance-原名,DASH,1.0,63.17,,,,,,,,,
ZECUSDT,binance-原名,binance-原名,ZEC,1.0,1624.2,,,,,,,,,
XTZUSDT,binance-原名,binance-原名,XTZ,1.0,0.3313,,,,,,,,,
BNBUSDT,binance-原名,binance-原名,BNB,1.0,778.76,,,,,,,,,
ATOMUSDT,binance-原名,binance-原名,ATOM,1.0,1.822,,,,,,,,,
ONTUSDT,binance-原名,binance-原名,ONT,1.0,0.05806,,,,,,,,,
IOTAUSDT,binance-原名,binance-原名,IOTA,1.0,0.04858,,,,,,,,,
BATUSDT,binance-原名,binance-原名,BAT,1.0,0.09346,,,,,,,,,
VETUSDT,binance-原名,binance-原名,VET,1.0,0.009563,,,,,,,,,
NEOUSDT,binance-原名,binance-原名,NEO,1.0,2.635,,,,,,,,,
QTUMUSDT,binance-原名,binance-原名,QTUM,1.0,1.0162,,,,,,,,,
IOSTUSDT,binance-原名,binance-原名,IOST,1.0,0.0009294,,,,,,,,,
THETAUSDT,binance-原名,binance-原名,THETA,1.0,0.227,,,,,,,,,
ALGOUSDT,binance-原名,binance-原名,ALGO,1.0,0.1089,,,,,,,,,
ZILUSDT,binance-原名,binance-原名,ZIL,1.0,0.00381,,,,,,,,,
KNCUSDT,binance-原名,binance-原名,KNC,1.0,0.1497,,,,,,,,,
ZRXUSDT,binance-原名,binance-原名,ZRX,1.0,0.1256,,,,,,,,,
COMPUSDT,binance-原名,binance-原名,COMP,1.0,22.68,,,,,,,,,
DOGEUSDT,binance-原名,binance-原名,DOGE,1.0,0.09923,,,,,,,,,
KAVAUSDT,binance-原名,binance-原名,KAVA,1.0,0.06928,,,,,,,,,
BANDUSDT,binance-原名,binance-原名,BAND,1.0,0.2254,,,,,,,,,
RLCUSDT,binance-原名,binance-原名,RLC,1.0,0.3528,,,,,,,,,
SNXUSDT,binance-原名,binance-原名,SNX,1.0,0.2576,,,,,,,,,
DOTUSDT,binance-原名,binance-原名,DOT,1.0,1.154,,,,,,,,,
